Data;Ano;Último;Abertura;Máxima;Mínima;Vol.;Var%;;
15.05.2014;2014;53.855,54;54.403,66;54.403,66;53.565,32;3,44M;-1,02%;;
14.05.2014;2014;54.412,54;53.913,33;54.459,39;53.866,76;2,88M;0,94%;;
13.05.2014;2014;53.907,46;54.056,45;54.242,98;53.730,94;2,96M;-0,27%;;
12.05.2014;2014;54.052,90;53.102,68;54.053,22;53.102,68;2,74M;1,79%;;
09.05.2014;2014;53.100,34;53.422,45;53.639,20;53.056,62;3,18M;-0,60%;;
08.05.2014;2014;53.422,37;54.052,63;54.249,42;53.222,35;3,34M;-1,17%;;
07.05.2014;2014;54.052,74;53.786,09;54.225,85;53.498,81;4,57M;0,51%;;
06.05.2014;2014;53.779,74;53.446,17;53.985,95;53.093,52;4,97M;0,62%;;
05.05.2014;2014;53.446,17;52.988,81;53.505,90;52.931,22;4,44M;0,88%;;
02.05.2014;2014;52.980,31;51.630,28;53.060,11;51.628,19;8,11M;2,62%;;
30.04.2014;2014;51.626,69;51.837,56;51.837,56;51.250,61;4,62M;-0,41%;;
29.04.2014;2014;51.838,61;51.386,17;52.415,86;51.386,17;4,33M;0,89%;;
28.04.2014;2014;51.383,68;51.396,82;51.471,48;50.776,61;2,71M;-0,03%;;
25.04.2014;2014;51.399,35;51.817,04;51.817,04;51.019,33;2,95M;-0,81%;;
24.04.2014;2014;51.817,45;51.569,69;51.963,17;51.237,58;3,19M;0,48%;;
23.04.2014;2014;51.569,69;51.974,51;51.974,51;51.399,88;2,84M;-0,78%;;
22.04.2014;2014;51.976,86;52.112,30;52.460,08;51.681,90;3,49M;-0,26%;;
17.04.2014;2014;52.111,85;51.200,69;52.338,07;50.886,75;3,02M;1,78%;;
16.04.2014;2014;51.200,56;50.469,16;51.288,03;50.469,16;3,43M;1,48%;;
15.04.2014;2014;50.454,35;51.593,24;51.593,24;49.890,16;3,86M;-2,21%;;
14.04.2014;2014;51.596,55;51.867,15;52.110,10;51.361,27;2,69M;-0,52%;;
11.04.2014;2014;51.867,29;51.127,48;51.870,75;50.517,86;3,40M;1,45%;;
10.04.2014;2014;51.127,48;51.185,40;51.522,00;50.732,13;3,59M;-0,11%;;
09.04.2014;2014;51.185,40;51.628,57;51.628,57;50.652,82;4,20M;-0,86%;;
08.04.2014;2014;51.629,07;52.173,00;53.393,57;51.377,19;5,50M;-1,01%;;
07.04.2014;2014;52.155,28;51.115,31;52.228,69;51.115,31;3,67M;2,10%;;
04.04.2014;2014;51.081,78;51.428,33;52.288,24;51.034,40;3,70M;-0,63%;;
03.04.2014;2014;51.408,21;51.711,81;51.990,84;51.059,14;3,50M;-0,57%;;
02.04.2014;2014;51.701,05;50.273,11;51.794,21;50.200,86;4,79M;2,85%;;
01.04.2014;2014;50.270,37;50.412,05;50.626,86;49.773,62;3,50M;-0,29%;;
31.03.2014;2014;50.414,92;49.769,69;50.417,58;49.769,69;3,65M;1,30%;;
28.03.2014;2014;49.768,06;49.653,28;50.180,53;49.606,04;4,23M;0,24%;;
27.03.2014;2014;49.646,79;47.964,65;49.646,79;47.962,03;5,93M;3,50%;;
26.03.2014;2014;47.965,61;48.181,86;48.725,06;47.963,01;3,44M;-0,45%;;
25.03.2014;2014;48.180,14;47.993,42;48.440,70;47.949,92;2,95M;0,39%;;
24.03.2014;2014;47.993,42;47.381,98;48.141,79;47.381,98;3,01M;1,29%;;
21.03.2014;2014;47.380,94;47.272,00;47.831,73;46.720,98;4,19M;0,22%;;
20.03.2014;2014;47.278,48;46.565,15;47.484,02;46.150,51;4,36M;1,53%;;
19.03.2014;2014;46.567,23;46.152,99;46.803,23;45.909,96;3,34M;0,90%;;
18.03.2014;2014;46.150,96;45.115,44;46.217,33;45.074,72;3,59M;2,29%;;
17.03.2014;2014;45.117,80;44.978,98;45.498,67;44.968,66;2,93M;0,34%;;
14.03.2014;2014;44.965,66;45.444,32;45.561,67;44.904,83;3,48M;-1,05%;;
13.03.2014;2014;45.443,83;45.863,88;46.176,34;45.250,32;3,12M;-0,91%;;
12.03.2014;2014;45.861,81;45.686,97;45.915,56;45.507,87;3,02M;0,36%;;
11.03.2014;2014;45.697,62;45.533,20;46.049,65;45.401,10;3,28M;0,36%;;
10.03.2014;2014;45.533,20;46.241,82;46.241,82;45.203,49;3,67M;-1,54%;;
09.03.2014;2014;46.244,07;46.244,07;46.244,07;46.244,07;-;0,00%;;
07.03.2014;2014;46.244,07;47.093,13;47.218,16;46.086,17;3,98M;-1,80%;;
06.03.2014;2014;47.093,13;46.591,90;47.400,49;46.501,58;3,16M;1,08%;;
05.03.2014;2014;46.589,00;47.092,24;47.153,51;46.472,87;2,29M;-1,07%;;
28.02.2014;2014;47.094,40;47.613,49;47.813,10;47.043,47;4,09M;-1,08%;;
27.02.2014;2014;47.606,75;46.621,81;47.781,38;46.621,81;3,05M;2,16%;;
26.02.2014;2014;46.599,21;46.717,53;47.009,89;46.402,96;3,23M;-0,25%;;
25.02.2014;2014;46.715,91;47.388,11;47.388,11;46.613,59;2,92M;-1,43%;;
24.02.2014;2014;47.393,50;47.375,76;47.538,55;46.991,26;2,99M;0,03%;;
21.02.2014;2014;47.380,24;47.289,79;47.815,61;47.075,28;2,61M;0,19%;;
20.02.2014;2014;47.288,61;47.126,94;47.600,35;46.634,22;3,00M;0,29%;;
19.02.2014;2014;47.150,83;46.597,40;47.155,22;46.133,66;4,00M;1,18%;;
18.02.2014;2014;46.599,76;47.575,30;47.712,25;46.599,76;3,86M;-2,05%;;
17.02.2014;2014;47.576,33;48.199,79;48.297,85;47.540,26;1,88M;-1,30%;;
14.02.2014;2014;48.201,11;47.815,64;48.313,77;47.756,18;3,19M;0,81%;;
13.02.2014;2014;47.812,83;48.211,04;48.211,04;47.128,98;3,17M;-0,84%;;
12.02.2014;2014;48.216,89;48.467,19;48.669,22;48.044,39;2,77M;-0,51%;;
11.02.2014;2014;48.462,79;47.715,35;48.603,74;47.588,97;3,38M;1,58%;;
10.02.2014;2014;47.710,82;48.070,25;48.135,89;47.464,56;2,63M;-0,75%;;
07.02.2014;2014;48.073,60;47.739,46;48.253,16;47.556,95;3,20M;0,70%;;
06.02.2014;2014;47.738,09;46.987,52;48.033,74;46.632,17;3,63M;2,39%;;
05.02.2014;2014;46.624,39;46.964,22;47.148,43;46.224,19;3,36M;-0,72%;;
04.02.2014;2014;46.964,22;46.147,52;47.131,61;46.145,89;3,47M;1,77%;;
03.02.2014;2014;46.147,52;47.622,76;47.622,76;46.109,45;3,62M;-3,13%;;
31.01.2014;2014;47.638,99;47.233,71;47.652,37;46.813,69;3,72M;0,84%;;
30.01.2014;2014;47.244,26;47.553,80;48.034,03;47.114,73;3,11M;-0,66%;;
29.01.2014;2014;47.556,78;47.839,04;47.884,07;47.153,97;3,32M;-0,59%;;
28.01.2014;2014;47.840,93;47.749,85;48.487,51;47.749,85;2,69M;0,29%;;
27.01.2014;2014;47.701,05;47.781,54;48.146,88;47.492,69;2,94M;-0,18%;;
24.01.2014;2014;47.787,38;48.325,32;48.327,15;47.493,97;3,54M;-1,10%;;
23.01.2014;2014;48.320,64;49.293,58;49.598,35;48.320,64;3,88M;-1,99%;;
22.01.2014;2014;49.299,66;48.542,99;49.487,04;48.542,99;3,87M;1,56%;;
21.01.2014;2014;48.542,07;48.728,20;49.123,53;48.440,05;3,10M;-0,34%;;
20.01.2014;2014;48.708,41;49.180,62;49.292,20;48.673,05;1,41M;-0,96%;;
17.01.2014;2014;49.181,86;49.696,28;49.868,22;49.174,03;2,62M;-1,04%;;
16.01.2014;2014;49.696,28;50.106,34;50.577,38;49.628,01;2,94M;-0,82%;;
15.01.2014;2014;50.105,37;49.714,97;50.229,75;49.714,97;2,84M;0,81%;;
14.01.2014;2014;49.703,10;49.421,07;49.833,53;49.263,11;2,89M;0,56%;;
13.01.2014;2014;49.426,90;49.708,29;50.003,23;49.308,77;2,80M;-0,54%;;
10.01.2014;2014;49.696,45;49.321,68;50.145,37;49.267,26;3,51M;0,76%;;
09.01.2014;2014;49.321,68;50.575,78;50.575,78;49.258,63;3,70M;-2,48%;;
08.01.2014;2014;50.576,64;50.431,23;50.792,61;50.423,58;2,92M;0,29%;;
07.01.2014;2014;50.430,02;50.981,58;51.477,81;50.429,14;3,34M;-1,07%;;
06.01.2014;2014;50.973,62;50.980,15;51.002,29;50.451,42;3,73M;-0,01%;;
03.01.2014;2014;50.981,09;50.348,27;50.981,09;50.268,72;7,36M;1,27%;;
02.01.2014;2014;50.341,25;51.522,19;51.656,14;50.246,30;3,48M;-2,26%;;
30.12.2013;2013;51.507,16;51.274,46;51.995,79;51.274,46;2,05M;0,47%;;
27.12.2013;2013;51.266,56;51.239,46;51.395,28;51.207,00;2,00M;0,09%;;
26.12.2013;2013;51.221,01;51.357,99;51.609,85;51.184,96;1,81M;-0,26%;;
25.12.2013;2013;51.356,10;51.356,10;51.356,10;51.356,10;-;0,00%;;
24.12.2013;2013;51.356,10;51.356,10;51.356,10;51.356,10;-;0,00%;;
23.12.2013;2013;51.356,10;51.187,57;51.604,98;51.187,57;2,31M;0,33%;;
20.12.2013;2013;51.185,74;51.619,60;51.640,98;51.024,65;3,72M;-0,87%;;
19.12.2013;2013;51.633,43;50.577,86;51.633,43;50.577,86;2,96M;2,12%;;
18.12.2013;2013;50.563,43;50.110,39;50.869,31;50.110,39;4,53M;0,94%;;
17.12.2013;2013;50.090,35;50.279,25;50.563,21;50.049,08;2,68M;-0,38%;;
16.12.2013;2013;50.279,61;50.048,67;50.611,49;50.048,67;2,80M;0,46%;;
13.12.2013;2013;50.051,18;50.133,03;50.518,64;50.006,11;2,88M;-0,14%;;
12.12.2013;2013;50.121,61;50.076,84;50.331,27;49.842,31;3,05M;0,11%;;
11.12.2013;2013;50.067,99;50.990,62;51.038,59;50.067,99;3,08M;-1,81%;;
10.12.2013;2013;50.993,02;51.166,59;51.334,25;50.955,66;2,13M;-0,34%;;
09.12.2013;2013;51.165,38;50.942,39;51.298,21;50.832,11;2,28M;0,43%;;
06.12.2013;2013;50.944,27;50.787,63;51.364,94;50.609,96;3,35M;0,31%;;
05.12.2013;2013;50.787,63;50.220,17;51.123,76;50.220,17;3,67M;1,14%;;
04.12.2013;2013;50.215,79;50.358,89;50.744,43;50.113,76;3,64M;-0,26%;;
03.12.2013;2013;50.348,89;51.239,59;51.257,25;50.223,54;3,68M;-1,75%;;
02.12.2013;2013;51.244,87;52.479,11;52.479,11;51.244,87;3,79M;-2,36%;;
29.11.2013;2013;52.482,49;51.846,83;52.482,49;51.846,83;2,63M;1,23%;;
28.11.2013;2013;51.846,83;51.861,51;52.458,01;51.696,89;2,42M;-0,03%;;
27.11.2013;2013;51.861,21;51.447,68;52.112,99;51.447,68;3,11M;0,81%;;
26.11.2013;2013;51.446,91;52.258,64;52.410,49;51.433,29;3,73M;-1,56%;;
25.11.2013;2013;52.263,51;52.807,05;52.995,10;52.115,83;3,08M;-1,02%;;
22.11.2013;2013;52.800,74;52.685,61;53.221,40;52.095,78;3,47M;0,21%;;
21.11.2013;2013;52.688,02;53.026,58;53.026,58;52.190,27;3,62M;-0,65%;;
19.11.2013;2013;53.032,91;54.303,64;54.303,64;52.831,06;3,65M;-2,35%;;
18.11.2013;2013;54.307,04;53.451,60;54.317,16;53.451,60;3,32M;1,60%;;
14.11.2013;2013;53.451,60;52.232,73;53.566,32;52.232,73;3,61M;2,34%;;
13.11.2013;2013;52.230,29;51.804,33;52.271,39;51.290,28;3,42M;0,82%;;
12.11.2013;2013;51.804,33;52.624,45;52.811,40;51.635,66;3,85M;-1,56%;;
11.11.2013;2013;52.623,87;52.246,97;52.645,52;52.072,18;2,32M;0,72%;;
08.11.2013;2013;52.248,86;52.738,90;52.867,92;51.735,25;4,11M;-0,93%;;
07.11.2013;2013;52.740,79;53.390,36;53.890,99;52.558,39;4,87M;-1,21%;;
06.11.2013;2013;53.384,60;53.839,76;53.856,75;53.073,47;4,26M;-0,83%;;
05.11.2013;2013;53.831,85;54.435,62;54.538,63;53.730,82;3,33M;-1,11%;;
04.11.2013;2013;54.436,92;54.014,21;54.531,03;54.008,39;2,73M;0,78%;;
01.11.2013;2013;54.013,24;54.255,03;54.387,33;53.752,67;4,09M;-0,45%;;
31.10.2013;2013;54.256,20;54.174,11;54.466,49;53.602,45;12,95M;0,15%;;
30.10.2013;2013;54.172,82;54.540,57;54.764,15;53.917,28;6,04M;-0,67%;;
29.10.2013;2013;54.538,80;55.075,80;55.266,83;54.223,63;6,14M;-0,97%;;
28.10.2013;2013;55.073,37;54.156,36;55.076,06;54.070,48;5,80M;1,70%;;
25.10.2013;2013;54.154,15;54.863,43;54.910,86;54.141,40;4,94M;-1,32%;;
24.10.2013;2013;54.877,15;55.440,03;55.864,10;54.442,62;5,65M;-1,02%;;
23.10.2013;2013;55.440,03;56.458,88;56.458,88;55.379,85;4,02M;-1,81%;;
22.10.2013;2013;56.460,38;56.074,18;56.720,21;55.897,80;4,61M;0,68%;;
21.10.2013;2013;56.077,43;55.380,32;56.109,15;55.256,84;4,66M;1,26%;;
18.10.2013;2013;55.378,46;55.359,99;56.052,46;55.003,77;5,98M;0,04%;;
17.10.2013;2013;55.358,13;55.965,87;56.167,76;55.145,98;7,21M;-1,10%;;
16.10.2013;2013;55.973,03;54.983,18;56.747,03;54.901,83;12,96M;1,80%;;
15.10.2013;2013;54.980,64;54.175,55;55.190,11;54.053,24;8,58M;1,50%;;
14.10.2013;2013;54.170,60;53.149,62;54.196,88;52.833,13;4,09M;1,92%;;
11.10.2013;2013;53.149,62;52.999,89;53.301,17;52.738,72;3,05M;0,29%;;
10.10.2013;2013;52.996,64;52.550,42;53.132,78;52.511,74;4,14M;0,85%;;
09.10.2013;2013;52.547,71;52.312,85;52.835,62;51.955,38;4,21M;0,45%;;
08.10.2013;2013;52.312,44;52.413,38;52.555,87;51.870,33;4,00M;-0,20%;;
07.10.2013;2013;52.417,10;52.841,20;52.912,03;52.273,90;3,47M;-0,82%;;
04.10.2013;2013;52.848,97;52.488,87;52.871,88;52.113,32;4,30M;0,68%;;
03.10.2013;2013;52.489,86;53.101,05;53.429,11;52.296,25;3,99M;-1,15%;;
02.10.2013;2013;53.100,18;53.176,01;53.473,88;52.870,80;4,14M;-0,15%;;
01.10.2013;2013;53.179,46;52.337,32;53.179,46;52.093,15;5,04M;1,61%;;
30.09.2013;2013;52.338,19;53.736,75;53.736,75;52.290,93;6,50M;-2,61%;;
27.09.2013;2013;53.738,92;53.780,99;54.131,01;53.611,24;4,22M;-0,08%;;
26.09.2013;2013;53.782,97;54.262,84;54.344,01;53.428,74;6,27M;-0,88%;;
25.09.2013;2013;54.261,11;54.425,47;54.611,87;53.967,94;3,90M;-0,31%;;
24.09.2013;2013;54.431,05;54.600,34;54.818,37;54.163,92;4,30M;-0,31%;;
23.09.2013;2013;54.602,38;54.110,03;54.682,51;54.026,79;3,92M;0,91%;;
20.09.2013;2013;54.110,03;55.095,27;55.242,53;54.018,51;4,42M;-1,79%;;
19.09.2013;2013;55.095,69;55.702,61;55.900,01;54.965,85;5,13M;-1,09%;;
18.09.2013;2013;55.702,90;54.272,50;55.827,16;53.981,55;7,54M;2,64%;;
17.09.2013;2013;54.271,25;53.823,40;54.271,25;53.576,06;4,25M;0,84%;;
16.09.2013;2013;53.821,63;53.799,17;54.462,78;53.559,49;4,77M;0,04%;;
13.09.2013;2013;53.797,51;53.311,05;53.858,68;52.917,36;4,94M;0,92%;;
12.09.2013;2013;53.307,09;53.570,46;53.838,99;52.945,21;6,09M;-0,49%;;
11.09.2013;2013;53.570,46;53.982,47;54.303,81;53.307,40;6,82M;-0,76%;;
10.09.2013;2013;53.979,03;54.252,26;54.739,92;53.769,25;6,83M;-0,50%;;
09.09.2013;2013;54.251,85;53.751,60;54.531,11;53.257,16;7,78M;0,93%;;
06.09.2013;2013;53.749,42;52.353,88;54.124,87;52.353,88;10,52M;2,67%;;
05.09.2013;2013;52.351,86;51.715,30;52.498,24;51.255,52;6,19M;1,23%;;
04.09.2013;2013;51.716,16;51.621,39;51.829,52;51.107,58;5,04M;0,18%;;
03.09.2013;2013;51.625,50;51.833,25;52.289,16;51.422,03;6,89M;-0,40%;;
02.09.2013;2013;51.835,15;50.012,33;51.976,44;50.012,33;9,67M;3,65%;;
30.08.2013;2013;50.011,75;49.932,22;50.480,08;49.648,91;14,23M;0,18%;;
29.08.2013;2013;49.921,88;49.866,92;50.557,90;49.845,00;7,99M;0,11%;;
28.08.2013;2013;49.866,92;50.091,55;50.591,03;49.530,29;8,50M;-0,45%;;
27.08.2013;2013;50.091,55;51.425,00;51.425,00;50.017,93;5,72M;-2,60%;;
26.08.2013;2013;51.429,48;52.199,97;52.398,44;51.429,48;4,28M;-1,47%;;
23.08.2013;2013;52.197,06;51.400,79;52.197,06;51.166,27;5,89M;1,56%;;
22.08.2013;2013;51.397,66;50.408,11;51.458,19;50.408,11;5,57M;1,97%;;
21.08.2013;2013;50.405,20;50.500,85;51.170,94;50.055,36;5,99M;-0,20%;;
20.08.2013;2013;50.507,02;51.561,17;51.561,17;50.498,82;5,83M;-2,07%;;
19.08.2013;2013;51.574,09;51.540,00;52.089,26;51.115,35;6,39M;0,07%;;
16.08.2013;2013;51.538,78;50.906,33;51.554,77;50.800,13;7,40M;1,24%;;
15.08.2013;2013;50.908,34;50.880,05;51.452,85;50.049,53;8,36M;0,02%;;
14.08.2013;2013;50.895,92;50.593,66;51.364,06;50.414,08;11,27M;0,58%;;
13.08.2013;2013;50.600,55;50.298,84;50.733,89;50.040,34;6,51M;0,60%;;
12.08.2013;2013;50.299,49;49.878,26;51.380,23;49.878,26;7,04M;0,85%;;
09.08.2013;2013;49.874,90;48.948,82;50.000,50;48.835,74;6,32M;1,93%;;
08.08.2013;2013;48.928,82;47.452,88;49.230,41;47.452,88;5,22M;3,12%;;
07.08.2013;2013;47.446,71;47.421,73;47.665,37;47.164,25;4,46M;0,05%;;
06.08.2013;2013;47.421,85;48.436,44;48.522,48;47.224,79;5,27M;-2,09%;;
05.08.2013;2013;48.436,44;48.477,42;48.707,32;48.263,85;3,74M;-0,08%;;
02.08.2013;2013;48.474,04;49.140,78;49.549,87;48.448,30;4,49M;-1,36%;;
01.08.2013;2013;49.140,78;48.235,00;49.281,33;48.235,00;4,69M;1,88%;;
31.07.2013;2013;48.234,49;48.558,25;48.823,70;48.139,64;4,94M;-0,67%;;
30.07.2013;2013;48.561,78;49.220,23;49.669,15;48.560,28;5,51M;-1,32%;;
29.07.2013;2013;49.212,33;49.414,43;49.461,16;48.975,24;3,29M;-0,42%;;
26.07.2013;2013;49.422,05;49.068,08;49.422,10;48.632,72;4,00M;0,72%;;
25.07.2013;2013;49.066,75;48.371,68;49.122,81;48.006,85;4,94M;1,43%;;
24.07.2013;2013;48.374,23;48.815,55;48.887,73;47.998,92;5,01M;-0,91%;;
23.07.2013;2013;48.819,52;48.579,49;49.379,07;48.579,49;4,58M;0,51%;;
22.07.2013;2013;48.574,09;47.407,17;48.879,39;47.407,17;4,13M;2,48%;;
19.07.2013;2013;47.400,23;47.650,26;47.650,26;47.163,00;3,47M;-0,54%;;
18.07.2013;2013;47.656,92;47.404,42;48.056,89;47.092,82;4,29M;0,53%;;
17.07.2013;2013;47.407,31;46.869,29;47.710,10;46.869,29;5,18M;1,15%;;
16.07.2013;2013;46.869,29;46.748,92;47.329,70;46.416,78;4,78M;0,28%;;
15.07.2013;2013;46.738,90;45.533,24;46.839,90;45.533,24;4,84M;2,65%;;
12.07.2013;2013;45.533,24;46.624,21;46.624,21;45.528,67;5,36M;-2,34%;;
11.07.2013;2013;46.626,26;45.493,56;46.719,05;45.493,56;5,59M;2,51%;;
10.07.2013;2013;45.483,43;45.142,09;45.955,32;45.142,09;4,87M;0,90%;;
08.07.2013;2013;45.075,50;45.211,42;45.740,37;44.838,92;4,66M;-0,30%;;
05.07.2013;2013;45.210,49;45.756,93;45.756,93;44.107,06;6,99M;-1,21%;;
04.07.2013;2013;45.763,16;45.046,24;46.097,03;45.046,24;5,10M;1,60%;;
03.07.2013;2013;45.044,03;45.227,18;45.826,80;44.552,00;7,00M;-0,41%;;
02.07.2013;2013;45.228,95;47.221,61;47.221,61;44.818,64;8,12M;-4,24%;;
01.07.2013;2013;47.229,59;47.457,90;47.674,01;46.675,95;6,66M;-0,48%;;
28.06.2013;2013;47.457,13;47.609,02;47.638,60;47.058,94;5,75M;-0,32%;;
27.06.2013;2013;47.609,46;47.134,88;48.053,15;47.134,88;5,57M;0,93%;;
26.06.2013;2013;47.171,98;46.903,29;47.725,03;46.903,29;5,64M;0,59%;;
25.06.2013;2013;46.893,04;45.966,75;47.119,15;45.966,75;4,77M;2,02%;;
24.06.2013;2013;45.965,05;47.038,97;47.038,97;45.405,94;6,30M;-2,32%;;
21.06.2013;2013;47.056,04;48.209,44;48.209,44;46.917,82;6,42M;-2,40%;;
20.06.2013;2013;48.214,43;47.884,37;48.214,43;45.929,82;8,79M;0,67%;;
19.06.2013;2013;47.893,06;49.456,96;49.698,20;47.838,39;6,58M;-3,18%;;
18.06.2013;2013;49.464,94;49.088,98;49.550,32;48.414,03;5,98M;0,77%;;
17.06.2013;2013;49.088,65;49.336,66;50.123,30;49.074,42;5,32M;-0,49%;;
14.06.2013;2013;49.332,34;50.415,23;50.655,93;49.329,71;5,83M;-2,15%;;
13.06.2013;2013;50.414,89;49.758,40;50.444,11;48.968,03;6,23M;2,51%;;
12.06.2013;2013;49.180,58;49.777,40;50.380,13;48.746,14;7,78M;-1,18%;;
11.06.2013;2013;49.769,93;51.314,33;51.314,33;49.708,50;5,56M;-3,01%;;
10.06.2013;2013;51.316,65;51.618,63;51.835,51;51.159,85;4,69M;-0,59%;;
07.06.2013;2013;51.618,63;52.876,77;52.876,77;51.427,73;5,64M;-2,39%;;
06.06.2013;2013;52.884,83;52.813,29;52.937,07;52.244,10;4,09M;0,16%;;
05.06.2013;2013;52.798,63;54.019,42;54.206,54;52.773,96;4,63M;-2,26%;;
04.06.2013;2013;54.017,90;53.944,36;54.289,07;53.497,96;4,31M;0,14%;;
03.06.2013;2013;53.944,36;53.512,25;53.993,32;53.143,42;4,34M;0,82%;;
31.05.2013;2013;53.506,08;54.632,53;54.775,79;52.942,22;8,79M;-2,07%;;
29.05.2013;2013;54.634,69;56.032,13;56.032,13;54.634,69;5,00M;-2,50%;;
28.05.2013;2013;56.036,26;56.399,27;56.978,67;56.008,52;4,18M;-0,64%;;
27.05.2013;2013;56.395,94;56.414,73;56.562,35;56.352,61;2,05M;-0,02%;;
24.05.2013;2013;56.406,21;56.349,91;56.506,04;55.901,06;4,85M;0,10%;;
23.05.2013;2013;56.349,91;56.423,39;56.423,39;55.379,26;4,07M;-0,14%;;
22.05.2013;2013;56.429,27;56.268,62;57.098,62;56.036,99;4,87M;0,29%;;
21.05.2013;2013;56.265,32;55.698,55;56.265,32;55.378,89;3,90M;1,01%;;
20.05.2013;2013;55.700,77;55.161,95;55.704,57;54.630,26;4,16M;0,97%;;
17.05.2013;2013;55.164,27;54.779,57;55.489,38;54.779,57;4,07M;0,72%;;
16.05.2013;2013;54.772,62;54.943,26;55.538,62;54.592,32;5,08M;-0,30%;;
15.05.2013;2013;54.936,41;54.667,90;55.215,64;54.487,57;4,90M;0,49%;;
14.05.2013;2013;54.666,82;54.442,45;55.029,81;54.326,92;5,09M;0,40%;;
13.05.2013;2013;54.447,77;55.105,81;55.105,81;54.388,81;3,96M;-1,20%;;
10.05.2013;2013;55.107,80;55.445,64;55.445,64;54.831,69;5,32M;-0,61%;;
09.05.2013;2013;55.447,56;55.804,80;56.071,93;54.905,26;4,80M;-0,64%;;
08.05.2013;2013;55.804,80;56.280,83;56.813,65;55.804,80;6,52M;-0,83%;;
07.05.2013;2013;56.274,66;55.428,83;56.450,43;55.206,72;6,24M;1,52%;;
06.05.2013;2013;55.429,88;55.487,90;55.541,73;54.651,57;6,45M;-0,10%;;
03.05.2013;2013;55.488,08;55.329,51;56.366,29;55.329,51;8,86M;0,30%;;
02.05.2013;2013;55.321,93;55.918,73;55.918,73;55.103,93;5,44M;-1,05%;;
30.04.2013;2013;55.910,37;54.888,27;55.910,37;54.584,95;7,14M;1,86%;;
29.04.2013;2013;54.887,25;54.253,72;55.335,83;54.253,72;5,93M;1,17%;;
26.04.2013;2013;54.252,04;54.963,32;55.033,92;54.146,57;4,66M;-1,29%;;
25.04.2013;2013;54.963,32;54.989,18;55.543,92;54.792,00;4,35M;-0,04%;;
24.04.2013;2013;54.984,23;54.875,06;55.546,48;54.722,56;3,95M;0,18%;;
23.04.2013;2013;54.884,75;54.301,03;55.282,00;54.164,91;5,37M;1,08%;;
22.04.2013;2013;54.297,73;53.926,50;54.297,97;53.419,90;4,17M;0,68%;;
19.04.2013;2013;53.928,92;53.168,92;54.017,87;53.168,92;3,73M;1,44%;;
18.04.2013;2013;53.165,91;52.886,60;53.473,82;52.391,52;4,55M;0,54%;;
17.04.2013;2013;52.881,96;53.984,01;53.984,01;52.540,44;7,41M;-2,05%;;
16.04.2013;2013;53.990,83;52.952,86;54.095,06;52.952,86;4,35M;1,97%;;
15.04.2013;2013;52.949,93;54.951,90;54.951,90;52.949,93;4,71M;-3,66%;;
12.04.2013;2013;54.962,65;55.398,42;55.530,62;54.458,10;4,81M;-0,79%;;
11.04.2013;2013;55.400,91;56.189,83;56.283,65;55.173,52;3,84M;-1,40%;;
10.04.2013;2013;56.186,56;55.913,41;56.975,82;55.913,41;5,39M;0,49%;;
09.04.2013;2013;55.912,04;55.100,83;56.304,60;55.100,83;5,19M;1,49%;;
08.04.2013;2013;55.092,31;55.048,75;55.136,34;54.333,30;5,50M;0,08%;;
05.04.2013;2013;55.050,60;54.646,07;55.226,74;53.794,47;5,97M;0,74%;;
04.04.2013;2013;54.648,15;55.562,74;55.579,41;54.432,05;4,57M;-1,65%;;
03.04.2013;2013;55.562,74;54.888,22;55.573,80;54.739,72;4,48M;1,23%;;
02.04.2013;2013;54.889,10;55.900,63;56.257,34;54.809,26;3,59M;-1,81%;;
01.04.2013;2013;55.902,18;56.348,07;56.348,07;55.896,60;2,76M;-0,80%;;
28.03.2013;2013;56.352,09;56.035,45;56.373,70;55.873,53;4,37M;0,57%;;
27.03.2013;2013;56.034,29;55.676,78;56.177,85;55.129,57;4,05M;0,65%;;
26.03.2013;2013;55.671,39;54.878,68;55.763,34;54.878,68;3,76M;1,45%;;
25.03.2013;2013;54.873,12;55.250,06;55.450,26;54.647,97;3,85M;-0,67%;;
22.03.2013;2013;55.243,40;55.576,67;55.893,25;55.097,97;3,74M;-0,60%;;
21.03.2013;2013;55.576,67;56.025,39;56.043,70;55.382,45;4,37M;-0,81%;;
20.03.2013;2013;56.030,03;56.360,72;56.396,16;55.831,35;4,18M;-0,59%;;
19.03.2013;2013;56.361,24;56.972,96;57.037,99;56.099,90;3,83M;-1,07%;;
18.03.2013;2013;56.972,96;56.868,76;57.151,85;56.139,18;3,74M;0,18%;;
15.03.2013;2013;56.869,28;57.274,83;57.532,36;56.805,27;5,18M;-0,72%;;
14.03.2013;2013;57.281,02;57.385,56;57.850,20;56.722,47;4,58M;-0,18%;;
13.03.2013;2013;57.385,90;58.204,14;58.410,67;57.285,74;4,54M;-1,41%;;
12.03.2013;2013;58.208,61;58.542,43;58.709,47;58.112,59;3,81M;-0,57%;;
11.03.2013;2013;58.544,79;58.440,49;58.546,69;57.800,36;4,13M;0,19%;;
08.03.2013;2013;58.432,75;58.841,63;59.031,27;58.128,87;4,13M;-0,70%;;
07.03.2013;2013;58.846,81;57.939,66;59.472,49;57.939,66;6,34M;1,56%;;
06.03.2013;2013;57.940,14;55.953,35;58.149,84;55.953,35;5,81M;3,56%;;
